V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88
-0.1701918043,0.1034215395,-0.144894224,0.0867676068,-0.1270957378,0.0746604469,-0.1107124243,0.0629925224,-0.093539942,0.0529458163,-0.0767221362,0.0418261034,-0.0591030644,0.0312368499,-0.0403272623,0.0191886854,-0.0207044413,0.0045719044,-0.0049415579,-0.013825139,0.0197732094,-0.0181724204,0.0443548737,-0.0199410917,0.0682107445,-0.0137454599,0.0915133905,-0.0047473763,0.111985045,0.0102433424,0.1222142264,0.0340986932,0.127640024,0.0604424058,0.1333230882,0.0856390572,0.1345009169,0.1099875406,0.1366518727,0.1330851066,0.1396726553,0.150968282,0.1505853467,0.1681765747,-0.2354162588,0.0534008411,-0.2312685987,0.0419517996,-0.214463006,0.0202605975,-0.1988555019,-0.0016899561,-0.1793312888,-0.0202356181,-0.1586569956,-0.0366677805,-0.1357405681,-0.0496139548,-0.1139224451,-0.064900721,-0.08989909,-0.0764944532,-0.0654786975,-0.0900129014,-0.0424247538,-0.104286864,-0.0167066981,-0.1135002229,0.0109964317,-0.118831054,0.0389196107,-0.113783414,0.0656954453,-0.1071450218,0.0928660455,-0.1017227938,0.1196945375,-0.0927497889,0.1465113255,-0.0802508445,0.1710514447,-0.0606986439,0.1872295162,-0.0361222269,0.2008780505,-0.0121097424,0.2161286963,0.0053817737
-0.1661590376,0.0978706396,-0.1479526594,0.082135111,-0.1314828808,0.0683642678,-0.1163207965,0.0537047465,-0.0987694872,0.0432642883,-0.0833168065,0.0303631365,-0.0655791302,0.0192527076,-0.0466572944,0.0086049261,-0.0253293408,0.0009691862,-0.0030443021,-0.007913298,0.0200698777,-0.0115546567,0.0440087865,-0.01130459,0.0679091705,-0.0098660707,0.0911182686,-0.0041839729,0.1140275789,0.0051370009,0.1374928022,0.0217464589,0.1513211364,0.0521648249,0.1531949419,0.0831723773,0.1487195703,0.1084139479,0.1459660336,0.132878289,0.1382726159,0.152865571,0.1410714576,0.1751715401,-0.2499123402,0.0468268423,-0.2351288188,0.0353531851,-0.2143487929,0.0197796497,-0.1952833519,0.0017962287,-0.1765146996,-0.0166197531,-0.1571776909,-0.0343391773,-0.1363033924,-0.0500716165,-0.1139161399,-0.0639557312,-0.0906549479,-0.0769220792,-0.0667989835,-0.0892706707,-0.0422309104,-0.0991250948,-0.0172267049,-0.1038943134,0.0073805003,-0.1005285435,0.0343028517,-0.0945998394,0.0626627347,-0.0912140363,0.0891773938,-0.0892318116,0.1146126102,-0.0845234794,0.1391185627,-0.0723072283,0.1614134447,-0.0557505598,0.1843686202,-0.0402551459,0.205902813,-0.0233225219,0.2279967375,-0.0090807352
-0.1544501403,0.1035304253,-0.1413977109,0.0910645678,-0.1275127118,0.0737358747,-0.1108142926,0.0612515395,-0.0944978477,0.0494552897,-0.0778005121,0.0382196048,-0.0602684532,0.0275524332,-0.0410819591,0.0159510504,-0.0240334006,0.0002181121,-0.0030467747,-0.0126249878,0.0210439602,-0.0196206614,0.0453659881,-0.0173760288,0.0695084823,-0.0126587265,0.0917945079,-0.0032176574,0.1099170695,0.0130901737,0.1234191151,0.0344214346,0.1303270288,0.0597731701,0.1346866229,0.0852668793,0.138060095,0.1095565212,0.1423842211,0.1326767697,0.1394622043,0.1534000367,0.1503016622,0.1805615762,-0.2399654754,0.0636261894,-0.226271551,0.046630809,-0.2094066992,0.025063973,-0.1928489583,0.0041341085,-0.1758879642,-0.0161585446,-0.1579360909,-0.0356053276,-0.1384744397,-0.0538874659,-0.1161714928,-0.0691389299,-0.0933519385,-0.0837769988,-0.0698077142,-0.0980012639,-0.045728531,-0.1117031275,-0.0194907684,-0.1243389461,0.0123389577,-0.1299177467,0.0422590238,-0.1221789495,0.069119673,-0.1136896516,0.0950861814,-0.102319108,0.1193247796,-0.0880537146,0.1423443841,-0.0719817822,0.1643181959,-0.0541082781,0.1796356594,-0.0314022101,0.1944650482,-0.0083948673,0.2050825662,0.0109744353
-0.1754602458,0.1067428172,-0.1483149823,0.084456376,-0.1299766189,0.0716357252,-0.111794855,0.0633767085,-0.0950619658,0.0518765909,-0.0783634632,0.0406637334,-0.0617285826,0.0301046003,-0.0404333751,0.021438448,-0.0205103083,0.0039718174,-0.0084775519,-0.0171261589,0.0174045034,-0.0268071657,0.0443064574,-0.0292413138,0.0709626032,-0.0239278203,0.0958996881,-0.0125217372,0.1175870329,0.0060100621,0.1297545487,0.0321629857,0.1342552081,0.0597482534,0.1336154342,0.085955376,0.1352188255,0.1105464849,0.1328852273,0.1342041224,0.1360636328,0.1513934667,0.1495523166,0.1628534379,-0.2358541144,0.0511724228,-0.2302079946,0.0432955897,-0.2111734887,0.0240915358,-0.1915636981,0.0053328457,-0.1751965343,-0.0159096027,-0.1579329044,-0.0357933022,-0.14146615,-0.0570060187,-0.1168461405,-0.0683662429,-0.0923806387,-0.0787051071,-0.0668091951,-0.0878274401,-0.0409193884,-0.0972651519,-0.0148206237,-0.1054267002,0.0108588343,-0.1124067698,0.0382421123,-0.1130235063,0.0653433364,-0.1068911987,0.09216906,-0.0994111702,0.1182591931,-0.0889686405,0.1437638741,-0.0757338208,0.1667678395,-0.0578323665,0.1876796526,-0.0374767406,0.2046828326,-0.0136761377,0.2200206067,0.0203107128
-0.1543118626,0.1083672425,-0.1357838348,0.0964770611,-0.1181223607,0.0822119122,-0.1039495148,0.0670993211,-0.0893569003,0.053582193,-0.0745895505,0.0398922435,-0.0591107715,0.0263344916,-0.043411679,0.0118254457,-0.0248936974,-0.0013395984,-0.0031277155,-0.0120045197,0.0208901458,-0.0136366145,0.0451309892,-0.014715881,0.0689673195,-0.0111029967,0.0923059531,-0.0056044631,0.1115321897,0.0099545557,0.1260343116,0.0317832219,0.1378774732,0.0559343191,0.1457651155,0.080639021,0.153440638,0.1047802035,0.1553071916,0.1297300665,0.1564230411,0.1477663132,0.164902097,0.1779621489,-0.2413181662,0.044456518,-0.2391739863,0.0359603427,-0.2199620295,0.0139458525,-0.2002174122,-0.0048066325,-0.1805528213,-0.0223365104,-0.1612904175,-0.040284005,-0.1414349667,-0.0584227151,-0.1196196113,-0.0739589284,-0.0992142969,-0.0933562536,-0.0716833147,-0.1048984862,-0.0441528833,-0.1119889647,-0.0162365197,-0.1150897273,0.0110745202,-0.1129982693,0.0380656734,-0.1095636314,0.0640794368,-0.1020494974,0.0898788541,-0.0937179996,0.1137522549,-0.0813579898,0.1356156963,-0.0663547009,0.1531700359,-0.0457012172,0.1732297246,-0.0265450024,0.1891392613,-0.0073634868,0.1949323897,0.0104956178
-0.1401370542,0.1138525838,-0.1312718042,0.1065803814,-0.1116496944,0.0920751038,-0.0984909725,0.0751061948,-0.0856498813,0.0651296817,-0.0698117311,0.0552996436,-0.0501512709,0.0440771844,-0.0331513947,0.0295893146,-0.0134301948,0.0173576284,0.0082533013,-0.0006093392,0.0207301585,-0.0183098234,0.0444304332,-0.0194212373,0.0692587589,-0.0161941799,0.0926851436,-0.0061176754,0.1110163893,0.0116576364,0.1176865475,0.0349986987,0.1173581966,0.0605537177,0.1183689723,0.0859804354,0.1161871618,0.1081056168,0.1121318923,0.1299189239,0.1051300443,0.158031598,0.1150091065,0.1730574084,-0.2386677782,0.0461274568,-0.2303017958,0.0431520955,-0.2151397373,0.0201043066,-0.1962557538,0.0009944628,-0.1799123105,-0.0200134502,-0.1604581084,-0.0382977812,-0.1406368771,-0.0561355726,-0.1198651491,-0.0735243166,-0.0977026289,-0.0896938238,-0.0737612341,-0.1044902429,-0.0481721128,-0.1168452054,-0.0191909279,-0.1290300133,0.0133193285,-0.127306136,0.0404428106,-0.1196500668,0.0675033459,-0.1162490792,0.094864154,-0.1107468107,0.124753718,-0.1045657678,0.1543419321,-0.0878378514,0.1774040232,-0.0657308424,0.1972966432,-0.0428917838,0.2137593402,-0.01679851,0.2218770105,0.0087094361
-0.1716987442,0.1091806894,-0.145480297,0.0847845728,-0.1308509781,0.0681146786,-0.1140165445,0.0550718842,-0.0976025112,0.0432131761,-0.0807715736,0.0318411688,-0.0629121615,0.0216948867,-0.0457702155,0.008465965,-0.0275482221,-0.0060306561,-0.004732714,-0.0179508507,0.0206068769,-0.0225955324,0.0454775099,-0.0219480829,0.0691334984,-0.0148188573,0.092014913,-0.0052472078,0.1118861427,0.0101052614,0.1283526574,0.0306308094,0.139185096,0.0561258096,0.1422325573,0.0827936115,0.1435419976,0.1081698879,0.1359874837,0.1310879376,0.1340528987,0.151679464,0.1521633657,0.1655478055,-0.2439961909,0.0807508275,-0.2241364087,0.045543634,-0.2076843876,0.0241162037,-0.1926934305,0.0022561502,-0.1755938145,-0.0177478176,-0.1581681259,-0.0376756937,-0.1369271999,-0.0536583836,-0.1155104288,-0.0697614251,-0.0925561233,-0.0838531869,-0.0677562371,-0.0950673632,-0.0420210237,-0.10388006,-0.0151593294,-0.1078422078,0.0117478587,-0.110041222,0.0384681038,-0.1085924708,0.0646128167,-0.1017083129,0.0910104386,-0.0948502405,0.116092291,-0.0842269059,0.1401006854,-0.0706392354,0.1634101267,-0.0552372151,0.1822682988,-0.0344827491,0.2076018202,-0.0184239983,0.2236392248,0.0251052512
-0.1751872784,0.1041839048,-0.1467245244,0.0848070785,-0.1303479227,0.0714942832,-0.1162621009,0.0571750622,-0.1015271362,0.0420505185,-0.0836199757,0.0306845879,-0.0654601797,0.0207407555,-0.0459058035,0.0115460993,-0.0258435093,6.23516817037269E-005,-0.0036231022,-0.0101777083,0.0204941841,-0.0160788442,0.0448770972,-0.0192046381,0.0696219302,-0.0175696314,0.0945370923,-0.0106784581,0.1174494572,0.004659954,0.13533454,0.0285645795,0.1410914026,0.0579867774,0.1410600535,0.0849502302,0.1378169101,0.1092585467,0.1318772971,0.1324967904,0.1310470469,0.1544828854,0.1425499746,0.165654397,-0.233040477,0.0635144812,-0.2255608711,0.0460560567,-0.2114105807,0.0234221023,-0.1935869359,0.0037518083,-0.1762827003,-0.0162089824,-0.1568794645,-0.034309261,-0.1396111046,-0.0545885643,-0.1164482996,-0.0681611356,-0.0917415669,-0.0785872852,-0.0674911544,-0.0906375861,-0.0418253195,-0.0978146928,-0.0153853275,-0.1031907519,0.0108171803,-0.1056900573,0.0376059994,-0.1036828243,0.0650334592,-0.1014403041,0.0921026336,-0.1010728799,0.1194872838,-0.0921976947,0.1450728265,-0.0777257257,0.1676617221,-0.0590538936,0.1871778953,-0.0383317086,0.2070969213,-0.0169006765,0.2239524277,0.0157600536
-0.16377288,0.118148222,-0.1371909094,0.0982729157,-0.1247291395,0.0792500379,-0.1091665601,0.0673191791,-0.0930831443,0.0543731082,-0.0779367764,0.0404260324,-0.0623166455,0.0264312979,-0.04818416,0.0101490292,-0.0275176603,-0.0007431594,-0.0059824828,-0.0134112791,0.0133729994,-0.033387251,0.0446267627,-0.0353136116,0.0739955108,-0.0321744797,0.1020684227,-0.0183666546,0.1243611868,0.0044991731,0.1332631689,0.0333552809,0.1375716582,0.0611785314,0.1380219161,0.0878143552,0.1345528496,0.1120609024,0.1302257129,0.1355078207,0.1259623206,0.1578449881,0.1306971587,0.1662664505,-0.231815823,0.0647460689,-0.2229490664,0.0480221018,-0.2080764913,0.0257403903,-0.19289055,0.004646962,-0.173985851,-0.0133858292,-0.1554454779,-0.0320559031,-0.1351177798,-0.0484852366,-0.1128224301,-0.0648023696,-0.095201674,-0.0850672752,-0.0727944405,-0.1020565446,-0.0460074269,-0.1125807557,-0.0186858929,-0.1222086118,0.0111282974,-0.1256253699,0.0408802182,-0.1229033263,0.0689350838,-0.1159339263,0.0969978991,-0.1074558011,0.1241594294,-0.0931419532,0.1455849149,-0.0728315643,0.1648498662,-0.0519884592,0.1799273442,-0.0290767422,0.1918956982,-0.0065967185,0.2025948435,0.0435399749
-0.1470504411,0.0915021415,-0.1431304113,0.0901299995,-0.127798747,0.0743194811,-0.1112676186,0.0620545039,-0.0964320647,0.0483035993,-0.0808692743,0.0349220034,-0.0635505189,0.0233507612,-0.0449481597,0.012150317,-0.0239059002,0.0020879263,-0.0032078949,-0.0122443788,0.0189136586,-0.025649952,0.0456371364,-0.0301612453,0.0728446127,-0.0271984681,0.1005157091,-0.0184044796,0.1238967957,0.0019743432,0.1364249524,0.0296639033,0.1404993915,0.0579474148,0.1413866502,0.0843809778,0.1406742753,0.1090571761,0.1387527504,0.1329262481,0.132519323,0.1543951901,0.1325930511,0.1730442623,-0.2459565594,0.07634739,-0.2347172912,0.0437081623,-0.2192109609,0.0189848388,-0.1988550203,-0.000469103,-0.1774812248,-0.0159756579,-0.1566453638,-0.0319960914,-0.1354088709,-0.0477927173,-0.113474093,-0.0631807525,-0.0904338007,-0.0784214714,-0.0709212873,-0.097947979,-0.0436664913,-0.1050772689,-0.0162946778,-0.10631824,0.0113862858,-0.1083161866,0.0385788464,-0.1102698175,0.0659270265,-0.1084961408,0.0939404605,-0.1031211044,0.119247969,-0.0894037986,0.1432952478,-0.0743259218,0.1652230001,-0.0559059973,0.1830402816,-0.0343238385,0.1932338595,-0.0106936182,0.2066953881,0.0344435889
